Func,LCFO Mean,LCFO Std,JADE Mean,JADE Std,JADE p,SHADE Mean,SHADE Std,SHADE p,L-SHADE Mean,L-SHADE Std,L-SHADE p,jSO Mean,jSO Std,jSO p
F21,2.38e+03,1.16e+01,2.45e+03,2.30e+01,1.86e-09,2.46e+03,2.82e+01,1.86e-09,2.89e+03,3.59e+01,1.86e-09,2.69e+03,4.81e+01,1.86e-09
F22,9.24e+03,9.43e+02,1.05e+04,4.83e+02,3.73e-09,9.67e+03,1.45e+03,3.80e-04,1.60e+04,6.11e+02,1.86e-09,1.24e+04,1.06e+03,1.86e-09
F23,2.81e+03,1.57e+01,2.90e+03,3.07e+01,1.86e-09,2.94e+03,3.74e+01,1.86e-09,3.59e+03,7.10e+01,1.86e-09,3.18e+03,4.66e+01,1.86e-09
F24,2.98e+03,1.73e+01,3.07e+03,3.03e+01,1.86e-09,3.08e+03,2.92e+01,1.86e-09,3.74e+03,5.68e+01,1.86e-09,3.41e+03,8.07e+01,1.86e-09
F25,3.03e+03,2.76e+01,3.04e+03,3.29e+01,1.98e-01,3.05e+03,3.46e+01,5.49e-02,9.14e+03,1.00e+03,1.86e-09,3.64e+03,2.36e+02,1.86e-09
F26,4.50e+03,1.72e+02,5.47e+03,2.92e+02,1.86e-09,5.74e+03,3.51e+02,1.86e-09,1.26e+04,1.01e+03,1.86e-09,8.96e+03,1.29e+03,1.86e-09
F27,3.33e+03,4.35e+01,3.39e+03,9.01e+01,1.04e-03,3.35e+03,5.78e+01,4.05e-02,4.70e+03,2.07e+02,1.86e-09,3.69e+03,1.92e+02,1.86e-09
F28,3.30e+03,1.80e+01,3.30e+03,2.32e+01,8.87e-01,3.31e+03,1.11e+01,2.45e-01,8.52e+03,5.83e+02,1.86e-09,4.52e+03,4.77e+02,1.86e-09
F29,3.62e+03,1.70e+02,4.07e+03,1.91e+02,4.66e-08,3.96e+03,1.93e+02,6.91e-07,8.59e+03,6.00e+02,1.86e-09,5.51e+03,7.05e+02,1.86e-09
F30,9.00e+05,1.75e+05,9.13e+05,2.50e+05,9.03e-01,8.75e+05,2.07e+05,5.43e-01,7.10e+08,2.23e+08,1.86e-09,5.02e+07,2.74e+07,1.86e-09
